year,richness
units,species
extent,FKNMS
2003.0,31.0
2004.0,31.0
1983.0,22.0
1985.0,47.0
1982.0,24.0
1984.0,41.0
1964.0,27.0
1981.0,14.0
1965.0,23.0
2014.0,11.0
1963.0,20.0
1980.0,11.0
1884.0,5.0
1968.0,12.0
1967.0,12.0
1969.0,12.0
1885.0,8.0
1902.0,9.0
1960.0,9.0
1886.0,5.0
2002.0,2.0
1925.0,5.0
1957.0,6.0
2001.0,1.0
1932.0,5.0
1979.0,3.0
1948.0,5.0
1954.0,4.0
1966.0,4.0
1972.0,2.0
1978.0,2.0
1971.0,2.0
1931.0,2.0
1961.0,2.0
2011.0,2.0
2012.0,1.0
1883.0,1.0
1916.0,1.0
1880.0,1.0
1974.0,1.0
1955.0,1.0
1977.0,1.0
2009.0,1.0
1898.0,1.0
2000.0,1.0
1924.0,1.0
